ID	network	p	th	seed	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9
Network_p=0.8	mhk	0.8	0.01	754	0.40700000000000003	0.40700000000000003	0.40700000000000003	0.40700000000000003	0.5	0.5	0.5	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	754	0.11599999999999999	0.26949999999999996	0.26949999999999996	0.26949999999999996	0.26949999999999996	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	754	0.07566666666666667	0.07566666666666667	0.15575	0.15575	0.15575	0.15575	0.199	0.199	0.199
Network_p=0.8	mhk	0.8	0.10799999999999998	754	0.018000000000000002	0.03125	0.04722222222222222	0.04722222222222222	0.0686	0.0686	0.08645454545454545	0.08645454545454545	0.08645454545454545
Network_p=0.8	mhk	0.8	0.14066666666666666	754	0.0035517241379310355	0.00530769230769231	0.007279069767441864	0.009652173913043481	0.011333333333333336	0.012367346938775512	0.014921568627450981	0.01621153846153846	0.017037735849056605
Network_p=0.8	mhk	0.8	0.17333333333333334	754									
Network_p=0.8	mhk	0.8	0.206	754									
Network_p=0.8	mhk	0.8	0.23866666666666664	754									
Network_p=0.8	mhk	0.8	0.2713333333333333	754									
Network_p=0.8	mhk	0.8	0.304	754									
Network_p=0.8	mhk	0.8	0.33666666666666667	754									
Network_p=0.8	mhk	0.8	0.3693333333333333	754									
Network_p=0.8	mhk	0.8	0.40199999999999997	754									
Network_p=0.8	mhk	0.8	0.43466666666666665	754									
Network_p=0.8	mhk	0.8	0.46733333333333327	754									
Network_p=0.8	mhk	0.8	0.5	754									
Network_p=0.8	mhk	0.8	0.01	804	0.275	0.275	0.4945	0.4945	0.4945	0.4945	0.4945	0.4945	0.4945
Network_p=0.8	mhk	0.8	0.042666666666666665	804	0.1275	0.1275	0.2843333333333333	0.2843333333333333	0.2843333333333333	0.2843333333333333	0.2843333333333333	0.2843333333333333	0.25
Network_p=0.8	mhk	0.8	0.07533333333333332	804	0.040999999999999995	0.07039999999999999	0.07039999999999999	0.12966666666666668	0.12966666666666668	0.12966666666666668	0.12966666666666668	0.14285714285714285	0.14285714285714285
Network_p=0.8	mhk	0.8	0.10799999999999998	804	0.010333333333333332	0.016266666666666665	0.0199375	0.026294117647058825	0.034277777777777775	0.034277777777777775	0.044052631578947364	0.044052631578947364	0.049049999999999996
Network_p=0.8	mhk	0.8	0.14066666666666666	804									
Network_p=0.8	mhk	0.8	0.17333333333333334	804									
Network_p=0.8	mhk	0.8	0.206	804									
Network_p=0.8	mhk	0.8	0.23866666666666664	804									
Network_p=0.8	mhk	0.8	0.2713333333333333	804									
Network_p=0.8	mhk	0.8	0.304	804									
Network_p=0.8	mhk	0.8	0.33666666666666667	804									
Network_p=0.8	mhk	0.8	0.3693333333333333	804									
Network_p=0.8	mhk	0.8	0.40199999999999997	804									
Network_p=0.8	mhk	0.8	0.43466666666666665	804									
Network_p=0.8	mhk	0.8	0.46733333333333327	804									
Network_p=0.8	mhk	0.8	0.5	804									
Network_p=0.8	mhk	0.8	0.01	887	0.247	0.247	0.496	0.496	0.496	0.496	0.496	0.496	0.496
Network_p=0.8	mhk	0.8	0.042666666666666665	887	0.1225	0.1225	0.283	0.283	0.283	0.283	0.283	0.283	0.25
Network_p=0.8	mhk	0.8	0.07533333333333332	887	0.0305	0.0428	0.07283333333333333	0.07283333333333333	0.12814285714285714	0.12814285714285714	0.12814285714285714	0.12814285714285714	0.125
Network_p=0.8	mhk	0.8	0.10799999999999998	887	0.009818181818181818	0.015266666666666668	0.024529411764705883	0.024529411764705883	0.033166666666666664	0.04336842105263158	0.04336842105263158	0.04336842105263158	0.04885
Network_p=0.8	mhk	0.8	0.14066666666666666	887									
Network_p=0.8	mhk	0.8	0.17333333333333334	887									
Network_p=0.8	mhk	0.8	0.206	887									
Network_p=0.8	mhk	0.8	0.23866666666666664	887									
Network_p=0.8	mhk	0.8	0.2713333333333333	887									
Network_p=0.8	mhk	0.8	0.304	887									
Network_p=0.8	mhk	0.8	0.33666666666666667	887									
Network_p=0.8	mhk	0.8	0.3693333333333333	887									
Network_p=0.8	mhk	0.8	0.40199999999999997	887									
Network_p=0.8	mhk	0.8	0.43466666666666665	887									
Network_p=0.8	mhk	0.8	0.46733333333333327	887									
Network_p=0.8	mhk	0.8	0.5	887									
Network_p=0.8	mhk	0.8	0.01	917	0.226	0.226	0.4935	0.4935	0.4935	0.4935	0.4935	0.4935	0.4935
Network_p=0.8	mhk	0.8	0.042666666666666665	917	0.089	0.21833333333333335	0.21833333333333335	0.21833333333333335	0.21833333333333335	0.21833333333333335	0.25	0.25	0.25
Network_p=0.8	mhk	0.8	0.07533333333333332	917	0.03875	0.0644	0.0644	0.11333333333333333	0.11333333333333333	0.11333333333333333	0.1427142857142857	0.1427142857142857	0.1427142857142857
Network_p=0.8	mhk	0.8	0.10799999999999998	917	0.013625000000000002	0.019090909090909092	0.025083333333333336	0.031230769230769232	0.04035714285714286	0.05313333333333334	0.05313333333333334	0.061625	0.061625
Network_p=0.8	mhk	0.8	0.14066666666666666	917									
Network_p=0.8	mhk	0.8	0.17333333333333334	917									
Network_p=0.8	mhk	0.8	0.206	917									
Network_p=0.8	mhk	0.8	0.23866666666666664	917									
Network_p=0.8	mhk	0.8	0.2713333333333333	917									
Network_p=0.8	mhk	0.8	0.304	917									
Network_p=0.8	mhk	0.8	0.33666666666666667	917									
Network_p=0.8	mhk	0.8	0.3693333333333333	917									
Network_p=0.8	mhk	0.8	0.40199999999999997	917									
Network_p=0.8	mhk	0.8	0.43466666666666665	917									
Network_p=0.8	mhk	0.8	0.46733333333333327	917									
Network_p=0.8	mhk	0.8	0.5	917									
Network_p=0.8	mhk	0.8	0.01	923	0.322	0.322	0.322	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006
Network_p=0.8	mhk	0.8	0.042666666666666665	923	0.183	0.183	0.183	0.3273333333333333	0.3273333333333333	0.3273333333333333	0.3273333333333333	0.3273333333333333	0.3273333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	923	0.0445	0.0814	0.0814	0.0814	0.14783333333333334	0.14783333333333334	0.14783333333333334	0.14783333333333334	0.14285714285714285
Network_p=0.8	mhk	0.8	0.10799999999999998	923	0.010399999999999998	0.018928571428571427	0.0242	0.030625	0.04205882352941176	0.04205882352941176	0.04205882352941176	0.052	0.052
Network_p=0.8	mhk	0.8	0.14066666666666666	923									
