ID	network	p	th	seed	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9
Network_p=0.8	mhk	0.8	0.01	368	0.42000000000000004	0.42000000000000004	0.42000000000000004	0.42000000000000004	0.5	0.5	0.5	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	368	0.135	0.312	0.312	0.312	0.312	0.312	0.3333333333333333	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	368	0.061000000000000006	0.09899999999999999	0.197	0.197	0.197	0.197	0.197	0.2	0.2
Network_p=0.8	mhk	0.8	0.10799999999999998	368	0.028200000000000003	0.034	0.048	0.07350000000000001	0.07350000000000001	0.10444444444444445	0.10444444444444445	0.10444444444444445	0.10444444444444445
Network_p=0.8	mhk	0.8	0.14066666666666666	368	0.010818181818181817	0.016714285714285713	0.023066666666666666	0.035124999999999997	0.035124999999999997	0.05158823529411765	0.05158823529411765	0.05158823529411765	0.0555
Network_p=0.8	mhk	0.8	0.17333333333333334	368	0.004545454545454546	0.008068965517241379	0.010533333333333334	0.014612903225806452	0.021781250000000002	0.021781250000000002	0.028333333333333335	0.028333333333333335	0.028333333333333335
Network_p=0.8	mhk	0.8	0.206	368									
Network_p=0.8	mhk	0.8	0.23866666666666664	368									
Network_p=0.8	mhk	0.8	0.2713333333333333	368									
Network_p=0.8	mhk	0.8	0.304	368									
Network_p=0.8	mhk	0.8	0.33666666666666667	368									
Network_p=0.8	mhk	0.8	0.3693333333333333	368									
Network_p=0.8	mhk	0.8	0.40199999999999997	368									
Network_p=0.8	mhk	0.8	0.43466666666666665	368									
Network_p=0.8	mhk	0.8	0.46733333333333327	368									
Network_p=0.8	mhk	0.8	0.5	368									
Network_p=0.8	mhk	0.8	0.01	614	0.33	0.33	0.33	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006
Network_p=0.8	mhk	0.8	0.042666666666666665	614	0.1895	0.1895	0.1895	0.3233333333333333	0.3233333333333333	0.3233333333333333	0.3233333333333333	0.3233333333333333	0.3233333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	614	0.042666666666666665	0.06425	0.11979999999999999	0.11979999999999999	0.11979999999999999	0.16416666666666666	0.16416666666666666	0.16416666666666666	0.16416666666666666
Network_p=0.8	mhk	0.8	0.10799999999999998	614	0.01575	0.028200000000000003	0.04363636363636364	0.04363636363636364	0.06958333333333333	0.06958333333333333	0.06958333333333333	0.06958333333333333	0.07692307692307693
Network_p=0.8	mhk	0.8	0.14066666666666666	614	0.006333333333333333	0.01038095238095238	0.013954545454545452	0.018999999999999996	0.029458333333333333	0.029458333333333333	0.029458333333333333	0.03896	0.03896
Network_p=0.8	mhk	0.8	0.17333333333333334	614									
Network_p=0.8	mhk	0.8	0.206	614									
Network_p=0.8	mhk	0.8	0.23866666666666664	614									
Network_p=0.8	mhk	0.8	0.2713333333333333	614									
Network_p=0.8	mhk	0.8	0.304	614									
Network_p=0.8	mhk	0.8	0.33666666666666667	614									
Network_p=0.8	mhk	0.8	0.3693333333333333	614									
Network_p=0.8	mhk	0.8	0.40199999999999997	614									
Network_p=0.8	mhk	0.8	0.43466666666666665	614									
Network_p=0.8	mhk	0.8	0.46733333333333327	614									
Network_p=0.8	mhk	0.8	0.5	614									
Network_p=0.8	mhk	0.8	0.01	322	0.515	0.515	0.515	0.515	0.515	0.5	0.5	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	322	0.181	0.38949999999999996	0.38949999999999996	0.38949999999999996	0.38949999999999996	0.38949999999999996	0.38949999999999996	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	322	0.0865	0.16233333333333333	0.16233333333333333	0.16233333333333333	0.2425	0.2425	0.2425	0.2425	0.2425
Network_p=0.8	mhk	0.8	0.10799999999999998	322	0.034	0.0442	0.06183333333333333	0.09942857142857142	0.09942857142857142	0.09942857142857142	0.122	0.122	0.122
Network_p=0.8	mhk	0.8	0.14066666666666666	322	0.009416666666666667	0.015933333333333334	0.0215	0.032999999999999995	0.032999999999999995	0.04861111111111111	0.04861111111111111	0.04861111111111111	0.05257894736842105
Network_p=0.8	mhk	0.8	0.17333333333333334	322									
Network_p=0.8	mhk	0.8	0.206	322									
Network_p=0.8	mhk	0.8	0.23866666666666664	322									
Network_p=0.8	mhk	0.8	0.2713333333333333	322									
Network_p=0.8	mhk	0.8	0.304	322									
Network_p=0.8	mhk	0.8	0.33666666666666667	322									
Network_p=0.8	mhk	0.8	0.3693333333333333	322									
Network_p=0.8	mhk	0.8	0.40199999999999997	322									
Network_p=0.8	mhk	0.8	0.43466666666666665	322									
Network_p=0.8	mhk	0.8	0.46733333333333327	322									
Network_p=0.8	mhk	0.8	0.5	322									
Network_p=0.8	mhk	0.8	0.01	279	0.544	0.544	0.544	0.544	0.544	0.5	0.5	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	279	0.19999999999999998	0.4245	0.4245	0.4245	0.4245	0.4245	0.4245	0.4245	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	279	0.092	0.18166666666666664	0.18166666666666664	0.18166666666666664	0.18166666666666664	0.2485	0.2485	0.2485	0.2485
Network_p=0.8	mhk	0.8	0.10799999999999998	279	0.03966666666666667	0.06539999999999999	0.06539999999999999	0.11066666666666665	0.11066666666666665	0.11066666666666665	0.141	0.141	0.141
Network_p=0.8	mhk	0.8	0.14066666666666666	279	0.015571428571428571	0.020300000000000002	0.04041666666666667	0.04041666666666667	0.05961538461538462	0.05961538461538462	0.05961538461538462	0.07107142857142858	0.07107142857142858
Network_p=0.8	mhk	0.8	0.17333333333333334	279	0.006058823529411767	0.009391304347826089	0.01492	0.021807692307692306	0.021807692307692306	0.031037037037037037	0.031037037037037037	0.031037037037037037	0.03560714285714286
Network_p=0.8	mhk	0.8	0.206	279									
Network_p=0.8	mhk	0.8	0.23866666666666664	279									
Network_p=0.8	mhk	0.8	0.2713333333333333	279									
Network_p=0.8	mhk	0.8	0.304	279									
Network_p=0.8	mhk	0.8	0.33666666666666667	279									
Network_p=0.8	mhk	0.8	0.3693333333333333	279									
Network_p=0.8	mhk	0.8	0.40199999999999997	279									
Network_p=0.8	mhk	0.8	0.43466666666666665	279									
Network_p=0.8	mhk	0.8	0.46733333333333327	279									
Network_p=0.8	mhk	0.8	0.5	279									
Network_p=0.8	mhk	0.8	0.01	381	0.446	0.446	0.446	0.446	0.5	0.5	0.5	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	381	0.133	0.315	0.315	0.315	0.315	0.315	0.3333333333333333	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	381	0.065	0.10966666666666668	0.10966666666666668	0.21150000000000002	0.21150000000000002	0.21150000000000002	0.21150000000000002	0.21150000000000002	0.2
Network_p=0.8	mhk	0.8	0.10799999999999998	381	0.02675	0.0395	0.05742857142857143	0.05742857142857143	0.09262500000000001	0.09262500000000001	0.09262500000000001	0.11044444444444446	0.11044444444444446
Network_p=0.8	mhk	0.8	0.14066666666666666	381									
Network_p=0.8	mhk	0.8	0.17333333333333334	381									
Network_p=0.8	mhk	0.8	0.206	381									
Network_p=0.8	mhk	0.8	0.23866666666666664	381									
Network_p=0.8	mhk	0.8	0.2713333333333333	381									
Network_p=0.8	mhk	0.8	0.304	381									
Network_p=0.8	mhk	0.8	0.33666666666666667	381									
Network_p=0.8	mhk	0.8	0.3693333333333333	381									
Network_p=0.8	mhk	0.8	0.40199999999999997	381									
Network_p=0.8	mhk	0.8	0.43466666666666665	381									
Network_p=0.8	mhk	0.8	0.46733333333333327	381									
Network_p=0.8	mhk	0.8	0.5	381									
Network_p=0.8	mhk	0.8	0.01	501	0.4	0.4	0.4	0.4995	0.4995	0.4995	0.4995	0.4995	0.4995
Network_p=0.8	mhk	0.8	0.042666666666666665	501	0.136	0.28700000000000003	0.28700000000000003	0.28700000000000003	0.28700000000000003	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	501	0.064	0.09733333333333334	0.181	0.181	0.181	0.181	0.181	0.2	0.2
Network_p=0.8	mhk	0.8	0.10799999999999998	501	0.0274	0.04442857142857143	0.04442857142857143	0.06375	0.06375	0.09566666666666666	0.09566666666666666	0.09566666666666666	0.1
Network_p=0.8	mhk	0.8	0.14066666666666666	501	0.008499999999999999	0.0164375	0.02152941176470588	0.03172222222222222	0.03172222222222222	0.04626315789473684	0.04626315789473684	0.04626315789473684	0.05
Network_p=0.8	mhk	0.8	0.17333333333333334	501									
Network_p=0.8	mhk	0.8	0.206	501									
Network_p=0.8	mhk	0.8	0.23866666666666664	501									
Network_p=0.8	mhk	0.8	0.2713333333333333	501									
Network_p=0.8	mhk	0.8	0.304	501									
Network_p=0.8	mhk	0.8	0.33666666666666667	501									
Network_p=0.8	mhk	0.8	0.3693333333333333	501									
Network_p=0.8	mhk	0.8	0.40199999999999997	501									
Network_p=0.8	mhk	0.8	0.43466666666666665	501									
Network_p=0.8	mhk	0.8	0.46733333333333327	501									
Network_p=0.8	mhk	0.8	0.5	501									
Network_p=0.8	mhk	0.8	0.01	580	0.449	0.449	0.449	0.449	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006
Network_p=0.8	mhk	0.8	0.042666666666666665	580	0.111	0.2675	0.2675	0.2675	0.2675	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	580	0.05566666666666667	0.10600000000000001	0.10600000000000001	0.10600000000000001	0.183	0.183	0.183	0.183	0.183
Network_p=0.8	mhk	0.8	0.10799999999999998	580	0.019142857142857145	0.032777777777777774	0.05349999999999999	0.05349999999999999	0.05349999999999999	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.08333333333333333
Network_p=0.8	mhk	0.8	0.14066666666666666	580	0.006058823529411765	0.012571428571428572	0.017772727272727273	0.027869565217391305	0.027869565217391305	0.027869565217391305	0.03933333333333333	0.03933333333333333	0.03933333333333333
Network_p=0.8	mhk	0.8	0.17333333333333334	580									
Network_p=0.8	mhk	0.8	0.206	580									
Network_p=0.8	mhk	0.8	0.23866666666666664	580									
Network_p=0.8	mhk	0.8	0.2713333333333333	580									
Network_p=0.8	mhk	0.8	0.304	580									
Network_p=0.8	mhk	0.8	0.33666666666666667	580									
Network_p=0.8	mhk	0.8	0.3693333333333333	580									
Network_p=0.8	mhk	0.8	0.40199999999999997	580									
Network_p=0.8	mhk	0.8	0.43466666666666665	580									
Network_p=0.8	mhk	0.8	0.46733333333333327	580									
Network_p=0.8	mhk	0.8	0.5	580									
Network_p=0.8	mhk	0.8	0.01	916	0.36200000000000004	0.36200000000000004	0.36200000000000004	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006
Network_p=0.8	mhk	0.8	0.042666666666666665	916	0.122	0.26749999999999996	0.26749999999999996	0.26749999999999996	0.26749999999999996	0.33299999999999996	0.33299999999999996	0.33299999999999996	0.33299999999999996
Network_p=0.8	mhk	0.8	0.07533333333333332	916	0.0625	0.09433333333333334	0.17425000000000002	0.17425000000000002	0.17425000000000002	0.17425000000000002	0.19980000000000003	0.19980000000000003	0.19980000000000003
Network_p=0.8	mhk	0.8	0.10799999999999998	916	0.025500000000000002	0.038	0.05185714285714286	0.076125	0.076125	0.076125	0.10577777777777778	0.10577777777777778	0.10577777777777778
Network_p=0.8	mhk	0.8	0.14066666666666666	916	0.01118181818181818	0.018785714285714288	0.024733333333333333	0.0364375	0.0364375	0.05123529411764706	0.05123529411764706	0.05123529411764706	0.05555555555555555
Network_p=0.8	mhk	0.8	0.17333333333333334	916									
Network_p=0.8	mhk	0.8	0.206	916									
Network_p=0.8	mhk	0.8	0.23866666666666664	916									
Network_p=0.8	mhk	0.8	0.2713333333333333	916									
Network_p=0.8	mhk	0.8	0.304	916									
Network_p=0.8	mhk	0.8	0.33666666666666667	916									
Network_p=0.8	mhk	0.8	0.3693333333333333	916									
Network_p=0.8	mhk	0.8	0.40199999999999997	916									
Network_p=0.8	mhk	0.8	0.43466666666666665	916									
Network_p=0.8	mhk	0.8	0.46733333333333327	916									
Network_p=0.8	mhk	0.8	0.5	916									
Network_p=0.8	mhk	0.8	0.01	520	0.459	0.459	0.459	0.459	0.5	0.5	0.5	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	520	0.16799999999999998	0.36450000000000005	0.36450000000000005	0.36450000000000005	0.36450000000000005	0.36450000000000005	0.36450000000000005	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	520	0.0685	0.111	0.111	0.20700000000000002	0.20700000000000002	0.20700000000000002	0.20700000000000002	0.20700000000000002	0.2
Network_p=0.8	mhk	0.8	0.10799999999999998	520	0.025	0.041428571428571426	0.06075	0.06075	0.09388888888888888	0.09388888888888888	0.09388888888888888	0.09388888888888888	0.1
Network_p=0.8	mhk	0.8	0.14066666666666666	520									
Network_p=0.8	mhk	0.8	0.17333333333333334	520									
Network_p=0.8	mhk	0.8	0.206	520									
Network_p=0.8	mhk	0.8	0.23866666666666664	520									
Network_p=0.8	mhk	0.8	0.2713333333333333	520									
Network_p=0.8	mhk	0.8	0.304	520									
Network_p=0.8	mhk	0.8	0.33666666666666667	520									
Network_p=0.8	mhk	0.8	0.3693333333333333	520									
Network_p=0.8	mhk	0.8	0.40199999999999997	520									
Network_p=0.8	mhk	0.8	0.43466666666666665	520									
Network_p=0.8	mhk	0.8	0.46733333333333327	520									
Network_p=0.8	mhk	0.8	0.5	520									
Network_p=0.8	mhk	0.8	0.01	718	0.34400000000000003	0.34400000000000003	0.34400000000000003	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006	0.49950000000000006
Network_p=0.8	mhk	0.8	0.042666666666666665	718	0.20850000000000002	0.20850000000000002	0.20850000000000002	0.20850000000000002	0.33066666666666666	0.33066666666666666	0.33066666666666666	0.33066666666666666	0.33066666666666666
Network_p=0.8	mhk	0.8	0.07533333333333332	718	0.03866666666666667	0.062	0.11579999999999999	0.11579999999999999	0.11579999999999999	0.16366666666666665	0.16366666666666665	0.16366666666666665	0.16366666666666665
Network_p=0.8	mhk	0.8	0.10799999999999998	718	0.014250000000000002	0.0246	0.03809090909090909	0.03809090909090909	0.06191666666666667	0.06191666666666667	0.06191666666666667	0.07630769230769231	0.07630769230769231
Network_p=0.8	mhk	0.8	0.14066666666666666	718									
Network_p=0.8	mhk	0.8	0.17333333333333334	718									
Network_p=0.8	mhk	0.8	0.206	718									
Network_p=0.8	mhk	0.8	0.23866666666666664	718									
Network_p=0.8	mhk	0.8	0.2713333333333333	718									
Network_p=0.8	mhk	0.8	0.304	718									
Network_p=0.8	mhk	0.8	0.33666666666666667	718									
Network_p=0.8	mhk	0.8	0.3693333333333333	718									
Network_p=0.8	mhk	0.8	0.40199999999999997	718									
Network_p=0.8	mhk	0.8	0.43466666666666665	718									
Network_p=0.8	mhk	0.8	0.46733333333333327	718									
Network_p=0.8	mhk	0.8	0.5	718									
Network_p=0.8	mhk	0.8	0.01	177	0.7130000000000001	0.7130000000000001	0.7130000000000001	0.7130000000000001	0.7130000000000001	0.7130000000000001	0.7130000000000001	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	177	0.383	0.383	0.383	0.494	0.494	0.494	0.494	0.494	0.494
Network_p=0.8	mhk	0.8	0.07533333333333332	177	0.175	0.28300000000000003	0.28300000000000003	0.28300000000000003	0.28300000000000003	0.333	0.333	0.333	0.333
Network_p=0.8	mhk	0.8	0.10799999999999998	177	0.0965	0.13933333333333334	0.13933333333333334	0.13933333333333334	0.21725	0.21725	0.21725	0.21725	0.2
Network_p=0.8	mhk	0.8	0.14066666666666666	177	0.044333333333333336	0.0534	0.06633333333333334	0.08985714285714286	0.08985714285714286	0.08985714285714286	0.1185	0.1185	0.1185
Network_p=0.8	mhk	0.8	0.17333333333333334	177	0.018	0.021727272727272727	0.025583333333333333	0.03207692307692307	0.043	0.043	0.05946666666666666	0.05946666666666666	0.06249999999999999
Network_p=0.8	mhk	0.8	0.206	177									
Network_p=0.8	mhk	0.8	0.23866666666666664	177									
Network_p=0.8	mhk	0.8	0.2713333333333333	177									
Network_p=0.8	mhk	0.8	0.304	177									
Network_p=0.8	mhk	0.8	0.33666666666666667	177									
Network_p=0.8	mhk	0.8	0.3693333333333333	177									
Network_p=0.8	mhk	0.8	0.40199999999999997	177									
Network_p=0.8	mhk	0.8	0.43466666666666665	177									
Network_p=0.8	mhk	0.8	0.46733333333333327	177									
Network_p=0.8	mhk	0.8	0.5	177									
Network_p=0.8	mhk	0.8	0.01	771	0.48200000000000004	0.48200000000000004	0.48200000000000004	0.48200000000000004	0.5	0.5	0.5	0.5	0.5
Network_p=0.8	mhk	0.8	0.042666666666666665	771	0.151	0.339	0.339	0.339	0.339	0.339	0.3333333333333333	0.3333333333333333	0.3333333333333333
Network_p=0.8	mhk	0.8	0.07533333333333332	771	0.076	0.1386666666666667	0.1386666666666667	0.1386666666666667	0.23575000000000002	0.23575000000000002	0.23575000000000002	0.23575000000000002	0.23575000000000002
Network_p=0.8	mhk	0.8	0.10799999999999998	771	0.034	0.0442	0.065	0.1032857142857143	0.1032857142857143	0.1032857142857143	0.1032857142857143	0.12375000000000001	0.12375000000000001
Network_p=0.8	mhk	0.8	0.14066666666666666	771	0.013	0.020416666666666663	0.027384615384615382	0.04028571428571428	0.04028571428571428	0.0594	0.0594	0.0594	0.0623125
Network_p=0.8	mhk	0.8	0.17333333333333334	771									
Network_p=0.8	mhk	0.8	0.206	771									
Network_p=0.8	mhk	0.8	0.23866666666666664	771									
Network_p=0.8	mhk	0.8	0.2713333333333333	771									
Network_p=0.8	mhk	0.8	0.304	771									
Network_p=0.8	mhk	0.8	0.33666666666666667	771									
Network_p=0.8	mhk	0.8	0.3693333333333333	771									
Network_p=0.8	mhk	0.8	0.40199999999999997	771									
Network_p=0.8	mhk	0.8	0.43466666666666665	771									
Network_p=0.8	mhk	0.8	0.46733333333333327	771									
Network_p=0.8	mhk	0.8	0.5	771									
Network_p=0.8	mhk	0.8	0.01	164	0.5960000000000001	0.5960000000000001	0.5960000000000001	0.5960000000000001	0.5960000000000001	0.5	0.5	0.5	0.5
